#	Name	Team	K/9 K/9 - Strikeouts per 9 Innings ((SO*9)/IP)	BB/9 BB/9 - Walks per 9 Innings ((BB*9)/IP)	K-BB% K-BB% - The difference between strikeout percentage and walk percentage	xFIP xFIP - Expected Fielder Independent Pitching where Home Runs are calculated as 10.5% of Fly Balls induced	SIERA SIERA - Skill Interactive ERA	IP IP - Innings Pitched	gmLI gmLI - Average Leverage Index when entering the game	LD% LD% - Line Drive Percentage (LD/BIP)	GB% GB% - Ground Ball Percentage (GB/BIP)	FB% FB% - Fly Ball Percentage (FB/BIP)
68	Jake Bennett	BOS	7.84	0.87	18.6%	3.82	3.68	10.1	0.87	16.7%	40.0%	43.3%
69	Jared Jones	PIT	9.00	3.27	14.6%	3.68	3.84	11.0	0.87	12.1%	54.5%	33.3%
70	Javier Assad	CHC	4.63	0.77	11.6%	4.12	4.39	11.2	0.87	13.9%	47.2%	38.9%
71	Jeffrey Springs	ATH	10.57	4.70	13.2%	5.63	4.91	7.2	0.87	12.0%	20.0%	68.0%
72	Jesús Luzardo	PHI	12.08	4.26	21.2%	3.13	3.38	12.2	0.90	17.2%	44.8%	37.9%
73	Joe Ryan	MIN	12.27	1.64	29.5%	1.87	2.36	11.0	0.79	29.6%	44.4%	25.9%
74	Joey Cantillo	CLE	9.00	0.69	24.5%	2.71	2.93	13.0	0.90	22.9%	42.9%	34.3%
75	Joey Estes	ATH	8.31	2.08	16.7%	4.01	4.26	4.1	0.87	38.5%	15.4%	46.2%
76	Jose Cabrera	ARI	5.40	0.00	16.7%	4.59	4.35	5.0	0.87	15.4%	30.8%	53.8%
77	José Soriano	LAA	9.90	5.40	11.6%	3.45	4.01	10.0	0.87	15.4%	65.4%	19.2%
78	JR Ritchie	ATL	7.20	5.40	4.5%	5.69	5.63	5.0	0.87	20.0%	26.7%	53.3%
79	Justin Wrobleski	LAD	5.06	1.69	9.5%	3.80	4.03	10.2	0.87	14.7%	58.8%	26.5%
80	Kai-Wei Teng	HOU	12.15	4.05	17.6%	4.10	3.66	13.1	0.87	25.0%	42.5%	32.5%
81	Keider Montero	DET	4.73	0.68	11.8%	4.74	4.76	13.1	0.87	11.6%	37.2%	51.2%
82	Kevin Gausman	TOR	10.00	6.00	9.8%	4.87	4.81	9.0	0.87	20.0%	32.0%	48.0%
83	Kodai Senga	NYM	11.25	9.00	5.9%	6.21	6.40	4.0	0.87	12.5%	0.0%	87.5%
84	Kumar Rocker	TEX	7.88	4.50	7.5%	4.34	4.82	8.0	0.90	34.5%	37.9%	27.6%
85	Kyle Bradish	BAL	13.11	3.86	24.5%	2.75	3.03	11.2	0.87	29.6%	33.3%	37.0%
86	Kyle Freeland	COL	8.31	0.00	22.6%	3.43	3.31	13.0	0.87	12.2%	41.5%	46.3%
87	Kyle Harrison	MIL	7.30	0.00	22.7%	3.66	3.31	12.1	0.87	9.1%	42.4%	48.5%
88	Kyle Leahy	STL	9.82	1.64	21.7%	3.09	3.16	11.0	0.90	12.5%	50.0%	37.5%
89	Lake Bachar	MIA	13.50	8.10	11.1%	4.59	4.64	3.1	0.87	37.5%	37.5%	25.0%
90	Landen Roupp	SFG	10.13	2.53	20.0%	3.23	3.40	10.2	0.87	17.2%	44.8%	37.9%
91	Logan Gilbert	SEA	10.71	2.33	25.7%	3.35	2.99	19.1	0.87	17.1%	29.3%	53.7%
92	Logan Webb	SFG	6.75	0.56	18.6%	4.12	4.06	16.0	0.87	13.3%	31.1%	55.6%
93	Lucas Giolito	SDP	6.75	11.25	-10.0%	7.59	7.86	4.0	0.87	16.7%	33.3%	50.0%
94	Luinder Avila	KCR	7.11	5.68	3.2%	6.01	5.69	6.1	0.90	18.2%	31.8%	50.0%
95	Luis Castillo	SEA	6.35	3.18	7.4%	4.33	4.83	5.2	0.87	30.0%	40.0%	30.0%
96	MacKenzie Gore	TEX	11.00	3.50	19.7%	3.56	3.55	18.0	0.87	21.7%	32.6%	45.7%
97	Martín Pérez	ATL	7.15	2.38	13.3%	2.96	3.24	11.1	0.87	21.2%	63.6%	15.2%
98	Matthew Liberatore	STL	9.00	1.50	16.1%	4.34	4.08	6.0	0.91	20.8%	33.3%	45.8%
99	Max Meyer	MIA	11.57	3.86	18.7%	4.01	3.62	16.1	0.87	15.6%	40.0%	44.4%
100	Max Scherzer	TOR	10.80	8.10	5.6%	5.64	5.27	3.1	0.87	0.0%	54.5%	45.5%
